Timestamp,Price,Volume
1788285050,51.74,128
1788285052,51.74,366
1788285054,51.73,167
1788285057,51.71,88
1788285059,51.69,317
1788285061,51.68,358
1788285064,51.68,93
1788285067,51.67,370
1788285068,51.66,256
1788285069,51.65,371
1788285071,51.66,218
1788285072,51.65,81
1788285074,51.63,307
1788285076,51.62,46
1788285078,51.63,310
1788285081,51.63,217
1788285083,51.63,218
1788285085,51.62,358
1788285088,51.62,264
1788285090,51.60,295
1788285093,51.61,163
1788285094,51.60,97
1788285096,51.59,203
1788285098,51.58,253
1788285099,51.58,34
1788285102,51.59,199
1788285103,51.58,472
1788285106,51.59,295
1788285108,51.57,55
1788285111,51.56,221
1788285114,51.54,132
1788285116,51.54,121
1788285117,51.53,101
1788285119,51.53,415
1788285122,51.53,177
1788285124,51.52,169
1788285125,51.51,29
1788285126,51.51,242
1788285128,51.50,101
1788285129,51.49,231
1788285132,51.49,96
1788285134,51.48,116
1788285137,51.49,133
1788285140,51.48,108
1788285141,51.50,267
1788285143,51.52,74
1788285144,51.51,104
1788285147,51.50,192
1788285150,51.49,224
1788285152,51.47,115
1788285154,51.47,32
1788285155,51.48,430
1788285158,51.46,95
1788285159,51.47,236
1788285161,51.46,142
1788285163,51.44,374
1788285165,51.44,200
1788285168,51.43,409
1788285170,51.42,174
1788285172,51.41,229
1788285173,51.41,299
1788285176,51.42,151
1788285177,51.40,294
1788285179,51.40,194
1788285182,51.42,19
1788285185,51.42,110
1788285186,51.40,219
1788285188,51.39,123
1788285190,51.39,113
1788285193,51.40,107
1788285195,51.40,132
1788285198,51.39,208
1788285201,51.38,266
1788285203,51.36,167
1788285206,51.36,158
1788285209,51.38,448
1788285212,51.40,144
1788285214,51.38,317
1788285217,51.37,450
1788285220,51.38,236
1788285222,51.39,249
1788285223,51.37,33
1788285224,51.36,139
1788285225,51.35,243
1788285227,51.35,271
1788285229,51.35,429
1788285230,51.34,124
1788285232,51.36,269
1788285235,51.37,73
1788285238,51.35,246
1788285239,51.34,210
1788285241,51.34,108
1788285243,51.32,175
1788285244,51.31,73
1788285246,51.30,106
1788285248,51.30,277
